,Player ID,Player,Total Runs Scored,Batting Avg,Batting Strike Rate,Total Centuries,Total Half Centuries,4s,6s,Total Wickets Taken,Best Bowling Figures,Bowling Avg,Best Economy Rate,Bowling Strike Rate,Total Matches Played,Total Dismissals Made,Total Catches Taken,Total Stumpings Made,Batting Hand,Bowling Arm,Bowling Style
120,120,T Kumaran,11,5.50,61.11,0,0,1,0,5,3/54,59.00,6.41,55.2,6.0,2.0,2.0,0.0,Right Hand,Right Arm,Pace Bowler
121,121,W Jaffer,10,5.00,43.47,0,0,2,0,-,-,-,-,-,2.0,0.0,0.0,0.0,Right Hand,Right Arm,Spin Bowler
122,122,AV Kale,10,10.00,45.45,0,0,1,0,-,-,-,-,-,1.0,0.0,0.0,0.0,Right Hand,Right Arm,Spin Bowler
123,123,Mukesh Kumar,10,10.00,62.50,0,0,2,0,5,3/30,43.40,5.56,46.8,6.0,1.0,1.0,0.0,Right Hand,Right Arm,Pace Bowler
124,124,KK Ahmed,9,4.50,52.94,0,0,1,0,15,3/13,31.0,5.81,32.0,11.0,1.0,1.0,0.0,Right Hand,Left Arm,Pace Bowler
125,125,S Dube,9,9.00,150.00,0,0,1,0,0,-,-,8.68,-,1.0,0.0,0.0,0.0,Left Hand,Right Arm,Pace Bowler
126,126,VR Aaron,8,8.00,53.33,0,0,1,0,11,3/24,38.09,6.61,34.5,9.0,1.0,1.0,0.0,Right Hand,Right Arm,Pace Bowler
127,127,VRV Singh,8,8.00,61.53,0,0,1,0,0,-,-,8.75,-,2.0,3.0,3.0,0.0,Right Hand,Right Arm,Pace Bowler
128,128,N Rana,7,7.00,50.00,0,0,0,0,0,-,-,3.33,-,1.0,0.0,0.0,0.0,Left Hand,Right Arm,Mixed
129,129,T Yohannan,7,-,63.63,0,0,0,0,5,3/33,24.40,6.1,24.0,3.0,0.0,0.0,0.0,Right Hand,Right Arm,Pace Bowler
130,130,NR Mongia,4,4.00,28.57,0,0,0,0,-,-,-,-,-,1.0,1.0,1.0,0.0,Right Hand,Unknown Arm,Mixed
131,131,Ravi Bishnoi,4,-,200.00,0,0,1,0,1,1/69,69.00,8.62,48.0,1.0,0.0,0.0,0.0,Right Hand,Right Arm,Spin Bowler
132,132,AM Salvi,4,2.00,28.57,0,0,0,0,4,2/15,30.00,4.18,43.0,4.0,2.0,2.0,0.0,Right Hand,Right Arm,Pace Bowler
133,133,Pankaj Singh,3,-,100.00,0,0,0,0,0,-,-,6.42,-,1.0,1.0,1.0,0.0,Right Hand,Right Arm,Pace Bowler
134,134,J Yadav,3,3.00,42.85,0,0,0,0,1,1/8,61.00,4.35,84.0,2.0,1.0,1.0,0.0,Right Hand,Right Arm,Spin Bowler
135,135,K Gowtham,2,2.00,66.66,0,0,0,0,1,1/49,49.00,6.12,48.0,1.0,1.0,1.0,0.0,Right Hand,Right Arm,Spin Bowler
136,136,M Prasidh Krishna,2,1.00,11.76,0,0,0,0,29,4/12,25.58,5.6,27.3,17.0,3.0,3.0,0.0,Right Hand,Right Arm,Pace Bowler
137,137,KR Sen,2,-,50.00,0,0,0,0,2,2/37,18.50,7.4,15.0,1.0,0.0,0.0,0.0,Right Hand,Right Arm,Pace Bowler
138,138,Umran Malik,2,2.00,18.18,0,0,0,0,13,3/57,30.69,6.54,28.1,10.0,2.0,2.0,0.0,Right Hand,Right Arm,Pace Bowler
139,139,Harvinder Singh,1,1.00,20.00,0,0,0,0,4,2/25,33.00,4.55,43.5,3.0,2.0,2.0,0.0,Right Hand,Right Arm,Pace Bowler
